year,ROA,ROE
2020,-1.2860510690393285,-0.03967090941263176
2021,-0.7190603560337098,-0.020682575026359805
2022,-1.5534479922228415,-0.03262878118123003
2023,-0.9574676139438736,-0.028822280566820072
2024,-0.836571497704585,-0.017237930137143705
